SalesDate,Volume,AvgTemperature,BrandPriceSegment,Cloc,TouristicPotential,MalePopulationPercentage,AvgIncome,DayOfWeek,IsInSeason,IsLegalHoliday,Trimester
2019-07-17,96.20999999999997,17.40000000000002,,,31743.0,49.796440000000054,2546.0,4,True,False,3
2019-07-18,114.81240000000001,18.0,,,31743.0,49.796440000000054,2546.0,5,True,False,3
2019-07-19,132.50840000000002,20.099999999999955,,,31743.0,49.79644000000006,2546.0,6,True,False,3
2019-07-20,83.62659999999998,20.099999999999977,,,31743.0,49.796440000000054,2546.0,7,True,False,3
2019-07-22,73.4078,21.700000000000014,,,31743.0,49.79644000000003,2546.0,2,True,False,3
2019-07-23,186.5697999999999,19.200000000000028,,,31743.0,49.79644000000006,2546.0,3,True,False,3
2019-07-24,95.41300000000003,20.299999999999972,,,31743.0,49.796440000000054,2546.0,4,True,False,3
2019-07-25,105.42979999999996,20.79999999999997,,,31743.0,49.796440000000054,2546.0,5,True,False,3
2019-07-26,138.3489999999999,22.09999999999995,,,31743.0,49.79644000000006,2546.0,6,True,False,3
2019-07-27,120.37199999999996,24.0,,,31743.0,49.796440000000054,2546.0,7,True,False,3
2019-07-29,97.99020000000003,21.700000000000017,,,31743.0,49.79644000000003,2546.0,2,True,False,3
2019-07-30,158.55059999999997,22.40000000000004,,,31743.0,49.796440000000054,2546.0,3,True,False,3
2019-07-31,289.75959999999986,22.599999999999937,,,31743.0,49.79644000000007,2546.0,4,True,False,3
2019-08-01,30.333400000000005,18.39999999999999,,,35848.0,49.79643999999999,2462.0,5,True,False,3
2019-08-02,147.25019999999995,19.400000000000045,,,35848.0,49.79644000000006,2462.0,6,True,False,3
2019-08-03,57.26119999999998,16.399999999999988,,,35848.0,49.79644000000005,2462.0,7,True,False,3
2019-08-05,88.75359999999995,16.299999999999994,,,35848.0,49.79644000000003,2462.0,2,True,False,3
2019-08-06,97.16980000000002,19.79999999999997,,,35848.0,49.796440000000054,2462.0,3,True,False,3
2019-08-07,85.37959999999995,22.700000000000028,,,35848.0,49.796440000000054,2462.0,4,True,False,3
