Date,EUR,USD
2018-01-18,4.6514000000,3.8054000000
2018-01-19,4.6614000000,3.7984000000
2018-01-20,4.6614000000,3.7984000000
2018-01-21,4.6614000000,3.7984000000
2018-01-22,4.6656000000,3.8059000000
2018-01-23,4.6679000000,3.8116000000
2018-01-24,4.6679000000,3.8116000000
2018-01-25,4.6665000000,3.7595000000
2018-01-26,4.6658000000,3.7436000000
2018-01-27,4.6658000000,3.7436000000
2018-01-28,4.6658000000,3.7436000000
2018-01-29,4.6540000000,3.7472000000
2018-01-30,4.6474000000,3.7416000000
2018-01-31,4.6582000000,3.7442000000
2018-02-01,4.6551000000,3.7443000000
2018-02-02,4.6526000000,3.7266000000
2018-02-03,4.6526000000,3.7266000000
2018-02-04,4.6526000000,3.7266000000
2018-02-05,4.6347000000,3.7170000000
2018-02-06,4.6423000000,3.7433000000
2018-02-07,4.6538000000,3.7705000000
2018-02-08,4.6533000000,3.8025000000
2018-02-09,4.6561000000,3.7984000000
2018-02-10,4.6561000000,3.7984000000
2018-02-11,4.6561000000,3.7984000000
2018-02-12,4.6534000000,3.7919000000
2018-02-13,4.6572000000,3.7738000000
2018-02-14,4.6588000000,3.7711000000
2018-02-15,4.6598000000,3.7337000000
2018-02-16,4.6595000000,3.7306000000
2018-02-17,4.6595000000,3.7306000000
2018-02-18,4.6595000000,3.7306000000
2018-02-19,4.6609000000,3.7530000000
2018-02-20,4.6623000000,3.7780000000
2018-02-21,4.6606000000,3.7828000000
2018-02-22,4.6539000000,3.7867000000
2018-02-23,4.6552000000,3.7813000000
2018-02-24,4.6552000000,3.7813000000
2018-02-25,4.6552000000,3.7813000000
2018-02-26,4.6613000000,3.7733000000
2018-02-27,4.6564000000,3.7782000000
2018-02-28,4.6625000000,3.8133000000
2018-03-01,4.6581000000,3.8209000000
2018-03-02,4.6590000000,3.7917000000
2018-03-03,4.6590000000,3.7917000000
2018-03-04,4.6590000000,3.7917000000
2018-03-05,4.6598000000,3.7829000000
2018-03-06,4.6596000000,3.7745000000
2018-03-07,4.6597000000,3.7463000000
2018-03-08,4.6592000000,3.7635000000
2018-03-09,4.6570000000,3.7865000000
2018-03-10,4.6570000000,3.7865000000
2018-03-11,4.6570000000,3.7865000000
2018-03-12,4.6616000000,3.7864000000
2018-03-13,4.6607000000,3.7771000000
2018-03-14,4.6622000000,3.7691000000
2018-03-15,4.6620000000,3.7715000000
2018-03-16,4.6646000000,3.7833000000
2018-03-17,4.6646000000,3.7833000000
2018-03-18,4.6646000000,3.7833000000
2018-03-19,4.6650000000,3.7930000000
2018-03-20,4.6655000000,3.7891000000
2018-03-21,4.6651000000,3.8002000000
2018-03-22,4.6659000000,3.7891000000
2018-03-23,4.6651000000,3.7841000000
2018-03-24,4.6651000000,3.7841000000
2018-03-25,4.6651000000,3.7841000000
2018-03-26,4.6594000000,3.7533000000
2018-03-27,4.6502000000,3.7453000000
2018-03-28,4.6557000000,3.7576000000
2018-03-29,4.6569000000,3.7819000000
2018-03-30,4.6576000000,3.7779000000
2018-03-31,4.6576000000,3.7779000000
2018-04-01,4.6576000000,3.7779000000
2018-04-02,4.6548000000,3.7746000000
2018-04-03,4.6585000000,3.7842000000
2018-04-04,4.6598000000,3.7909000000
2018-04-05,4.6615000000,3.7965000000
2018-04-06,4.6615000000,3.7965000000
2018-04-07,4.6615000000,3.7965000000
2018-04-08,4.6615000000,3.7965000000
2018-04-09,4.6615000000,3.7965000000
2018-04-10,4.6605000000,3.7824000000
2018-04-11,4.6600000000,3.7657000000
2018-04-12,4.6617000000,3.7766000000
2018-04-13,4.6611000000,3.7778000000
2018-04-14,4.6611000000,3.7778000000
2018-04-15,4.6611000000,3.7778000000
2018-04-16,4.6507000000,3.7600000000
2018-04-17,4.6485000000,3.7588000000
2018-04-18,4.6530000000,3.7620000000
2018-04-19,4.6579000000,3.7656000000
2018-04-20,4.6606000000,3.7886000000
2018-04-21,4.6606000000,3.7886000000
2018-04-22,4.6606000000,3.7886000000
2018-04-23,4.6563000000,3.8076000000
2018-04-24,4.6516000000,3.8120000000
2018-04-25,4.6474000000,3.8065000000
2018-04-26,4.6490000000,3.8160000000
2018-04-27,4.6618000000,3.8596000000
2018-04-28,4.6618000000,3.8596000000
2018-04-29,4.6618000000,3.8596000000
2018-04-30,4.6589000000,3.8479000000
2018-05-01,4.6589000000,3.8479000000
2018-05-02,4.6630000000,3.8839000000
2018-05-03,4.6618000000,3.8861000000
2018-05-04,4.6569000000,3.8936000000
2018-05-05,4.6569000000,3.8936000000
2018-05-06,4.6569000000,3.8936000000
2018-05-07,4.6542000000,3.9026000000
2018-05-08,4.6496000000,3.9148000000
2018-05-09,4.6454000000,3.9170000000
2018-05-10,4.6397000000,3.9065000000
2018-05-11,4.6348000000,3.8843000000
2018-05-12,4.6348000000,3.8843000000
2018-05-13,4.6348000000,3.8843000000
2018-05-14,4.6289000000,3.8640000000
2018-05-15,4.6283000000,3.8797000000
2018-05-16,4.6338000000,3.9251000000
2018-05-17,4.6296000000,3.9229000000
2018-05-18,4.6303000000,3.9308000000
2018-05-19,4.6303000000,3.9308000000
2018-05-20,4.6303000000,3.9308000000
2018-05-21,4.6228000000,3.9370000000
2018-05-22,4.6225000000,3.9099000000
2018-05-23,4.6292000000,3.9502000000
2018-05-24,4.6243000000,3.9431000000
2018-05-25,4.6288000000,3.9524000000
2018-05-26,4.6288000000,3.9524000000
2018-05-27,4.6288000000,3.9524000000
2018-05-28,4.6288000000,3.9524000000
2018-05-29,4.6397000000,4.0284000000
2018-05-30,4.6399000000,3.9958000000
2018-05-31,4.6485000000,3.9734000000
2018-06-01,4.6485000000,3.9734000000
2018-06-02,4.6485000000,3.9734000000
2018-06-03,4.6485000000,3.9734000000
2018-06-04,4.6566000000,3.9713000000
2018-06-05,4.6531000000,3.9770000000
2018-06-06,4.6513000000,3.9535000000
